ID объекта;Район;Тип планировки;Количество комнат;Первый/Последний этаж;Общая площадь (м2);Жилая площадь (м2);Площадь кухни (м2);Наличие агенства;Состояние;Стоимость (т.руб.)
214;Правобережный;брежневка;1;ЛОЖЬ;32;16;6;ЛОЖЬ;3;1000
217;Орджоникидзевский;Нестандартная;1;ИСТИНА;44;22;10;ЛОЖЬ;3;1198
219;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;17;6;ЛОЖЬ;3;900
222;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;19;9;ЛОЖЬ;5;1150
226;Орджоникидзевский;Нестандартная;1;ИСТИНА;44;20;14;ИСТИНА;5;1300
228;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;8;ЛОЖЬ;3;1050
229;Орджоникидзевский;Улучшенная;1;ИСТИНА;38;18;9;ИСТИНА;3;1230
239;Ленинский;сталинка;1;ЛОЖЬ;34;19;8;ЛОЖЬ;5;1400
246;Ленинский;хрущевка;1;ИСТИНА;32;19;6;ЛОЖЬ;3;920
248;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;22;14;ЛОЖЬ;4;1295
249;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;19;9;ЛОЖЬ;3;1150
254;Ленинский;сталинка;1;ИСТИНА;42;18;9;ЛОЖЬ;3;1200
256;Ленинский;сталинка;1;ИСТИНА;40;22;6;ИСТИНА;4;940
259;Ленинский;брежневка;1;ИСТИНА;30;18;6;ЛОЖЬ;3;980
262;Орджоникидзевский;свердловский вариант;1;ЛОЖЬ;34;18;9;ЛОЖЬ;4;1150
263;Ленинский;сталинка;1;ИСТИНА;42;20;6;ЛОЖЬ;3;1080
268;Правобережный;Нестандартная;1;ЛОЖЬ;39;19;9;ЛОЖЬ;3;1080
270;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;930
277;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;49;20;12;ЛОЖЬ;3;1380
278;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;8;ЛОЖЬ;4;1020
280;Орджоникидзевский;Нестандартная;1;ИСТИНА;45;22;11;ЛОЖЬ;3;1320
283;Ленинский;хрущевка;1;ЛОЖЬ;32;19;6;ИСТИНА;5;1050
284;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
286;Правобережный;хрущевка;1;ЛОЖЬ;31;17;6;ИСТИНА;3;1000
289;Правобережный;брежневка;1;ИСТИНА;28;17;5;ЛОЖЬ;3;950
290;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;56;24;10;ИСТИНА;3;1560
291;Орджоникидзевский;Улучшенная;1;ИСТИНА;37;17;9;ЛОЖЬ;3;1080
