ID объекта;Район;Тип планировки;Количество комнат;Первый/Последний этаж;Общая площадь (м2);Жилая площадь (м2);Площадь кухни (м2);Наличие агенства;Состояние;Стоимость (т.руб.)
1484;Правобережный;брежневка;1;ЛОЖЬ;31;16;6;ЛОЖЬ;4;1080
1486;Ленинский;хрущевка;1;ЛОЖЬ;33;18;6;ЛОЖЬ;3;1020
1487;Ленинский;сталинка;1;ЛОЖЬ;31;19;5;ЛОЖЬ;4;1100
1490;Ленинский;сталинка;1;ИСТИНА;33;20;6;ЛОЖЬ;3;990
1492;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
1494;Правобережный;Нестандартная;1;ЛОЖЬ;39;18;9;ЛОЖЬ;3;1080
1495;Правобережный;Улучшенная;1;ИСТИНА;32;17;9;ИСТИНА;4;1170
1497;Правобережный;сталинка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;3;920
1500;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;42;19;10;ЛОЖЬ;3;1330
1501;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
1502;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;3;1090
1506;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;3;1090
1512;Ленинский;хрущевка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;970
1516;Правобережный;хрущевка;1;ЛОЖЬ;30;19;6;ЛОЖЬ;5;1100
1519;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;4;1160
1524;Орджоникидзевский;Нестандартная;1;ИСТИНА;48;27;9;ЛОЖЬ;4;1200
1526;Ленинский;хрущевка;1;ИСТИНА;33;18;6;ИСТИНА;3;980
1530;Правобережный;хрущевка;1;ЛОЖЬ;30;18;6;ЛОЖЬ;3;985
1532;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;9;ЛОЖЬ;3;1130
1535;Ленинский;хрущевка;1;ИСТИНА;30;18;6;ЛОЖЬ;5;1100
1537;Ленинский;сталинка;1;ИСТИНА;34;20;6;ИСТИНА;4;1100
1540;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ЛОЖЬ;3;880
1542;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;22;14;ЛОЖЬ;4;1295
1544;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;35;19;9;ЛОЖЬ;4;1180
1546;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;965
1551;Ленинский;свердловский вариант;1;ЛОЖЬ;34;17;8;ИСТИНА;3;980
1554;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;19;9;ЛОЖЬ;4;1270
1555;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;51;25;9;ИСТИНА;4;1350
1557;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;34;14;8;ИСТИНА;2;980
1559;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;18;9;ИСТИНА;5;1200
1560;Ленинский;свердловский вариант;1;ИСТИНА;34;17;8;ИСТИНА;3;980
1562;Правобережный;хрущевка;1;ИСТИНА;34;19;6;ЛОЖЬ;3;1100
1563;Ленинский;хрущевка;1;ИСТИНА;33;18;6;ЛОЖЬ;3;910
1566;Правобережный;Улучшенная;1;ИСТИНА;33;17;8;ЛОЖЬ;4;1145
1571;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;18;6;ИСТИНА;4;980
1576;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;970
1580;Ленинский;хрущевка;1;ИСТИНА;32;19;6;ЛОЖЬ;3;860
1584;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
1587;Правобережный;брежневка;1;ЛОЖЬ;32;18;7;ЛОЖЬ;3;1100
1588;Правобережный;брежневка;1;ИСТИНА;30;17;7;ЛОЖЬ;3;1050
1591;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;19;9;ЛОЖЬ;3;1150
1594;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;18;9;ЛОЖЬ;3;1110
1596;Ленинский;сталинка;1;ИСТИНА;30;19;6;ЛОЖЬ;3;750
1601;Правобережный;сталинка;1;ИСТИНА;23;12;6;ЛОЖЬ;4;870
1602;Правобережный;брежневка;1;ЛОЖЬ;34;18;6;ЛОЖЬ;4;1100
1604;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;18;9;ЛОЖЬ;3;1050
1605;Правобережный;хрущевка;1;ИСТИНА;30;19;6;ЛОЖЬ;3;950
1614;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;39;19;10;ИСТИНА;3;1100
1618;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;4;1030
1619;Ленинский;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;1000
1623;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
1626;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;20;11;ЛОЖЬ;3;1440
1628;Ленинский;хрущевка;1;ЛОЖЬ;31;18;6;ИСТИНА;3;1000
1630;Орджоникидзевский;Нестандартная;1;ИСТИНА;48;20;10;ЛОЖЬ;3;1350
1632;Ленинский;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;1000
1634;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;18;12;ЛОЖЬ;5;1380
1635;Правобережный;сталинка;1;ЛОЖЬ;22;12;5;ИСТИНА;3;850
1637;Орджоникидзевский;Нестандартная;1;ИСТИНА;32;17;7;ИСТИНА;3;990
1643;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;9;ЛОЖЬ;4;1170
1647;Ленинский;сталинка;1;ИСТИНА;30;18;6;ИСТИНА;4;950
1648;Правобережный;брежневка;1;ЛОЖЬ;30;17;6;ИСТИНА;4;980
1651;Правобережный;сталинка;1;ИСТИНА;22;12;6;ИСТИНА;4;800
1653;Ленинский;хрущевка;1;ИСТИНА;31;18;6;ИСТИНА;3;1000
1656;Ленинский;брежневка;1;ЛОЖЬ;34;17;8;ЛОЖЬ;4;1050
1658;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;32;16;7;ЛОЖЬ;3;1000
1659;Ленинский;хрущевка;1;ЛОЖЬ;33;18;6;ЛОЖЬ;3;1020
1662;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;4;900
1665;Ленинский;сталинка;1;ЛОЖЬ;33;20;6;ИСТИНА;3;1070
1672;Правобережный;Нестандартная;1;ИСТИНА;43;18;9;ЛОЖЬ;3;1300
1673;Правобережный;брежневка;1;ИСТИНА;28;17;5;ЛОЖЬ;4;950
1674;Орджоникидзевский;Нестандартная;1;ИСТИНА;38;18;9;ЛОЖЬ;3;1220
1675;Ленинский;сталинка;1;ИСТИНА;40;20;11;ЛОЖЬ;4;1180
1679;Правобережный;сталинка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;920
1680;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;18;8;ЛОЖЬ;3;1070
1687;Правобережный;хрущевка;1;ЛОЖЬ;33;19;6;ЛОЖЬ;3;980
1689;Правобережный;Нестандартная;1;ЛОЖЬ;59;23;15;ИСТИНА;4;1680
1691;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
1695;Ленинский;брежневка;1;ЛОЖЬ;33;17;8;ЛОЖЬ;5;1270
1697;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ЛОЖЬ;3;880
1703;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;3;1050
1705;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;38;17;10;ЛОЖЬ;5;1320
1707;Орджоникидзевский;Улучшенная;1;ИСТИНА;32;18;8;ЛОЖЬ;3;1080
1712;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ИСТИНА;3;870
1714;Орджоникидзевский;Нестандартная;1;ИСТИНА;49;20;12;ИСТИНА;3;1380
1717;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;4;900
1720;Ленинский;сталинка;1;ИСТИНА;42;17;12;ЛОЖЬ;3;1200
1726;Орджоникидзевский;брежневка;1;ЛОЖЬ;32;18;7;ЛОЖЬ;5;1100
1730;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
1731;Правобережный;сталинка;1;ИСТИНА;21;12;6;ЛОЖЬ;3;780
1735;Правобережный;Нестандартная;1;ЛОЖЬ;42;20;10;ЛОЖЬ;4;1450
1737;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;17;12;ЛОЖЬ;4;1200
1738;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;8;ЛОЖЬ;3;970
1739;Правобережный;брежневка;1;ИСТИНА;30;17;6;ИСТИНА;4;980
1740;Ленинский;хрущевка;1;ИСТИНА;30;18;6;ЛОЖЬ;5;1100
1741;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;47;21;12;ЛОЖЬ;4;1340
1743;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;910
1744;Ленинский;сталинка;1;ИСТИНА;42;20;6;ЛОЖЬ;3;1080
1747;Ленинский;хрущевка;1;ИСТИНА;32;18;6;ЛОЖЬ;3;980
1751;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;4;1120
1752;Орджоникидзевский;Нестандартная;1;ИСТИНА;41;19;10;ЛОЖЬ;4;1280
1760;Правобережный;брежневка;1;ИСТИНА;28;17;5;ЛОЖЬ;3;950
1761;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;8;ЛОЖЬ;3;1130
1762;Правобережный;сталинка;1;ЛОЖЬ;30;17;6;ЛОЖЬ;3;930
1764;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;19;10;ИСТИНА;4;1450
1765;Орджоникидзевский;Улучшенная;1;ИСТИНА;32;18;9;ЛОЖЬ;3;1070
1766;Орджоникидзевский;свердловский вариант;1;ИСТИНА;35;19;9;ЛОЖЬ;4;1080
1767;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;51;26;13;ИСТИНА;4;1400
1771;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;9;ЛОЖЬ;4;1320
1775;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;48;25;12;ЛОЖЬ;3;1400
1776;Орджоникидзевский;Нестандартная;1;ИСТИНА;38;18;9;ЛОЖЬ;4;1220
1779;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;4;1030
1782;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
1784;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;8;ЛОЖЬ;4;1050
1785;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;5;1150
1786;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
1787;Ленинский;хрущевка;1;ИСТИНА;32;19;6;ЛОЖЬ;3;860
1788;Ленинский;сталинка;1;ИСТИНА;42;20;6;ЛОЖЬ;3;1100
1795;Правобережный;хрущевка;1;ЛОЖЬ;33;18;6;ИСТИНА;4;1050
1798;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;20;11;ЛОЖЬ;3;1440
1799;Правобережный;брежневка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;1100
1806;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;3;1050
1807;Ленинский;брежневка;1;ИСТИНА;33;17;8;ЛОЖЬ;4;920
1812;Ленинский;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;4;900
1815;Орджоникидзевский;Улучшенная;1;ИСТИНА;33;17;9;ЛОЖЬ;3;1200
1817;Правобережный;хрущевка;1;ЛОЖЬ;32;18;6;ЛОЖЬ;4;1020
1819;Ленинский;сталинка;1;ЛОЖЬ;37;20;9;ИСТИНА;3;1350
1822;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;880
1824;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;9;ЛОЖЬ;4;1300
1826;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;8;ЛОЖЬ;3;1050
1834;Ленинский;сталинка;1;ИСТИНА;30;19;6;ЛОЖЬ;3;750
1837;Ленинский;сталинка;1;ИСТИНА;32;18;7;ЛОЖЬ;4;1050
1839;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;43;19;8;ИСТИНА;4;1250
1840;Ленинский;сталинка;1;ИСТИНА;42;20;6;ЛОЖЬ;3;1100
1843;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
1844;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;1030
1845;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;965
1846;Ленинский;хрущевка;1;ЛОЖЬ;33;18;6;ЛОЖЬ;3;1020
1850;Ленинский;сталинка;1;ИСТИНА;42;18;9;ЛОЖЬ;3;1200
1852;Ленинский;хрущевка;1;ЛОЖЬ;33;18;6;ЛОЖЬ;3;1020
1857;Ленинский;сталинка;1;ИСТИНА;36;19;9;ЛОЖЬ;4;1070
1859;Ленинский;хрущевка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;970
1863;Правобережный;хрущевка;1;ИСТИНА;31;20;6;ЛОЖЬ;4;1000
1864;Орджоникидзевский;свердловский вариант;1;ЛОЖЬ;35;19;9;ЛОЖЬ;4;1200
1865;Правобережный;хрущевка;1;ЛОЖЬ;33;19;6;ЛОЖЬ;3;980
1866;Ленинский;сталинка;1;ИСТИНА;42;20;6;ЛОЖЬ;3;1050
1869;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;48;20;10;ИСТИНА;3;1350
1871;Орджоникидзевский;Улучшенная;1;ИСТИНА;40;19;11;ЛОЖЬ;4;1450
1874;Правобережный;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;1030
1875;Ленинский;брежневка;1;ИСТИНА;30;18;6;ЛОЖЬ;3;970
1878;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;1030
1887;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ИСТИНА;4;1070
1891;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;49;20;14;ЛОЖЬ;3;1280
1893;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;46;18;11;ИСТИНА;4;1250
1894;Ленинский;сталинка;1;ИСТИНА;42;20;6;ЛОЖЬ;4;1080
1900;Ленинский;Нестандартная;1;ЛОЖЬ;31;18;7;ЛОЖЬ;5;1030
1903;Ленинский;сталинка;1;ЛОЖЬ;31;19;5;ЛОЖЬ;3;1100
1905;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;40;19;9;ЛОЖЬ;4;1230
1906;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;17;9;ЛОЖЬ;4;1320
1907;Ленинский;хрущевка;1;ИСТИНА;33;19;6;ЛОЖЬ;4;890
1910;Ленинский;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;850
1912;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;3;1150
1913;Ленинский;Улучшенная;1;ЛОЖЬ;33;17;9;ИСТИНА;3;950
1914;Правобережный;хрущевка;1;ИСТИНА;30;18;6;ИСТИНА;3;1050
1917;Ленинский;хрущевка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;970
1918;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;35;19;10;ИСТИНА;4;1070
1919;Правобережный;хрущевка;1;ЛОЖЬ;32;19;6;ИСТИНА;3;970
1921;Правобережный;сталинка;1;ИСТИНА;22;12;6;ИСТИНА;4;920
1922;Орджоникидзевский;свердловский вариант;1;ИСТИНА;34;17;9;ЛОЖЬ;4;1100
1923;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;19;9;ЛОЖЬ;3;1270
1924;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;1030
1934;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;19;9;ЛОЖЬ;3;1150
1937;Ленинский;хрущевка;1;ЛОЖЬ;31;18;6;ИСТИНА;3;1000
1938;Орджоникидзевский;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;1080
1939;Орджоникидзевский;свердловский вариант;1;ИСТИНА;34;17;9;ЛОЖЬ;4;1100
1940;Ленинский;хрущевка;1;ЛОЖЬ;33;18;6;ЛОЖЬ;4;1020
1941;Ленинский;хрущевка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;4;1020
1951;Орджоникидзевский;Нестандартная;1;ИСТИНА;47;21;12;ЛОЖЬ;3;1300
1953;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;49;20;12;ИСТИНА;4;1380
1955;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;12;9;ИСТИНА;4;1100
1956;Правобережный;Нестандартная;1;ИСТИНА;34;15;7;ЛОЖЬ;4;950
1957;Ленинский;брежневка;1;ИСТИНА;33;17;8;ЛОЖЬ;4;900
1958;Ленинский;сталинка;1;ИСТИНА;42;18;9;ЛОЖЬ;3;1200
1961;Правобережный;брежневка;1;ЛОЖЬ;32;19;7;ИСТИНА;3;1150
1962;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
1963;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ЛОЖЬ;3;880
1964;Орджоникидзевский;свердловский вариант;1;ИСТИНА;35;19;9;ЛОЖЬ;3;1090
1966;Ленинский;сталинка;1;ИСТИНА;42;18;9;ЛОЖЬ;4;1200
1968;Правобережный;хрущевка;1;ЛОЖЬ;32;20;6;ЛОЖЬ;4;1000
1972;Ленинский;сталинка;1;ИСТИНА;33;20;6;ИСТИНА;3;1050
1973;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;18;9;ЛОЖЬ;4;1100
1978;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;910
1979;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;9;ЛОЖЬ;4;1700
1980;Правобережный;Нестандартная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;4;1150
1981;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;3;1050
1983;Ленинский;хрущевка;1;ИСТИНА;30;18;6;ЛОЖЬ;5;1100
1985;Правобережный;сталинка;1;ИСТИНА;26;15;6;ИСТИНА;3;950
1987;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
1988;Правобережный;брежневка;1;ЛОЖЬ;31;16;6;ЛОЖЬ;3;1080
1991;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;20;11;ЛОЖЬ;3;1440
1997;Правобережный;брежневка;1;ЛОЖЬ;32;19;7;ЛОЖЬ;4;1090
1999;Правобережный;Улучшенная;1;ИСТИНА;35;18;9;ЛОЖЬ;5;1500
2001;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ЛОЖЬ;3;880
2002;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;4;1070
2007;Правобережный;сталинка;1;ИСТИНА;22;12;6;ИСТИНА;3;850
2008;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
2010;Правобережный;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;3;950
2013;Ленинский;Нестандартная;1;ЛОЖЬ;45;20;9;ЛОЖЬ;5;1400
2015;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;3;1020
2021;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;18;9;ЛОЖЬ;4;1100
2024;Орджоникидзевский;Нестандартная;1;ИСТИНА;49;20;10;ЛОЖЬ;3;1300
2028;Правобережный;сталинка;1;ИСТИНА;22;12;5;ИСТИНА;3;850
2031;Ленинский;сталинка;1;ЛОЖЬ;34;19;8;ЛОЖЬ;5;1400
2032;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;33;17;8;ЛОЖЬ;4;1040
2037;Ленинский;брежневка;1;ИСТИНА;30;18;6;ЛОЖЬ;3;970
2039;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;20;11;ЛОЖЬ;4;1440
2040;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;3;1070
2041;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;8;ЛОЖЬ;3;1050
2043;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;49;20;12;ИСТИНА;3;1380
2045;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;40;18;9;ЛОЖЬ;4;1300
2047;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;44;18;12;ЛОЖЬ;5;1380
2052;Орджоникидзевский;сталинка;1;ЛОЖЬ;36;18;8;ЛОЖЬ;3;1120
2053;Ленинский;сталинка;1;ИСТИНА;31;16;9;ЛОЖЬ;4;700
2059;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;18;9;ЛОЖЬ;4;1100
2070;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;18;8;ЛОЖЬ;3;1070
2081;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ЛОЖЬ;3;880
2083;Ленинский;сталинка;1;ИСТИНА;40;22;6;ИСТИНА;4;940
2084;Правобережный;хрущевка;1;ЛОЖЬ;30;19;6;ЛОЖЬ;5;1100
2085;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;46;20;12;ЛОЖЬ;4;1400
2086;Ленинский;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;930
2091;Ленинский;сталинка;1;ЛОЖЬ;31;19;5;ЛОЖЬ;3;1100
2092;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;18;9;ЛОЖЬ;5;1200
2093;Орджоникидзевский;Нестандартная;1;ИСТИНА;42;19;10;ЛОЖЬ;3;1330
2094;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;44;18;12;ЛОЖЬ;5;1380
2096;Ленинский;хрущевка;1;ЛОЖЬ;32;19;6;ЛОЖЬ;3;860
2098;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;17;9;ЛОЖЬ;4;1320
2103;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;18;9;ЛОЖЬ;5;1200
2104;Ленинский;хрущевка;1;ИСТИНА;31;17;6;ЛОЖЬ;4;860
2105;Правобережный;хрущевка;1;ИСТИНА;32;18;6;ЛОЖЬ;3;980
2107;Правобережный;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;990
2108;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;17;6;ЛОЖЬ;3;900
2110;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;18;9;ЛОЖЬ;4;1230
2114;Ленинский;сталинка;1;ЛОЖЬ;31;17;9;ЛОЖЬ;5;720
2116;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;34;19;9;ЛОЖЬ;3;1130
2117;Ленинский;сталинка;1;ЛОЖЬ;31;19;5;ЛОЖЬ;4;1100
2119;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;9;ИСТИНА;5;1270
2127;Ленинский;сталинка;1;ИСТИНА;34;19;5;ЛОЖЬ;4;1080
2129;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;4;1020
1;Орджоникидзевский;Улучшенная;2;ЛОЖЬ;51;30;9;ЛОЖЬ;3;1520
3;Правобережный;хрущевка;2;ЛОЖЬ;44;30;6;ИСТИНА;3;1270
5;Орджоникидзевский;Улучшенная;2;ЛОЖЬ;50;30;9;ЛОЖЬ;3;1550
7;Правобережный;брежневка;2;ИСТИНА;44;32;6;ЛОЖЬ;4;1200
12;Правобережный;брежневка;2;ИСТИНА;44;30;6;ЛОЖЬ;4;1300
18;Орджоникидзевский;Улучшенная;2;ИСТИНА;50;30;9;ИСТИНА;4;1500
19;Правобережный;хрущевка;2;ИСТИНА;44;30;6;ЛОЖЬ;3;1180
21;Ленинский;сталинка;2;ЛОЖЬ;52;32;5;ЛОЖЬ;3;1400
28;Правобережный;брежневка;2;ЛОЖЬ;47;31;6;ЛОЖЬ;4;1350
31;Ленинский;сталинка;2;ИСТИНА;56;32;9;ЛОЖЬ;5;1720
32;Ленинский;сталинка;2;ИСТИНА;54;32;7;ИСТИНА;3;1530
33;Ленинский;сталинка;2;ИСТИНА;53;32;6;ЛОЖЬ;3;1000
34;Орджоникидзевский;брежневка;2;ИСТИНА;44;28;6;ЛОЖЬ;4;1420
35;Орджоникидзевский;Улучшенная;2;ЛОЖЬ;50;29;9;ЛОЖЬ;4;1660
37;Орджоникидзевский;Нестандартная;2;ЛОЖЬ;69;39;13;ИСТИНА;4;1920
38;Орджоникидзевский;Улучшенная;2;ЛОЖЬ;50;29;9;ИСТИНА;4;1900
42;Ленинский;сталинка;2;ИСТИНА;53;32;6;ЛОЖЬ;3;1550
43;Правобережный;Улучшенная;2;ИСТИНА;50;30;9;ЛОЖЬ;3;1470
48;Ленинский;сталинка;2;ИСТИНА;56;31;11;ИСТИНА;3;1500
49;Ленинский;сталинка;2;ЛОЖЬ;42;27;7;ЛОЖЬ;2;950
52;Орджоникидзевский;свердловский вариант;2;ЛОЖЬ;54;31;9;ЛОЖЬ;3;1620
53;Ленинский;сталинка;2;ЛОЖЬ;51;29;9;ЛОЖЬ;3;1400
54;Орджоникидзевский;Нестандартная;2;ЛОЖЬ;64;35;14;ИСТИНА;4;2200
56;Орджоникидзевский;Нестандартная;2;ИСТИНА;84;50;15;ЛОЖЬ;3;2200
60;Орджоникидзевский;брежневка;2;ЛОЖЬ;44;28;6;ЛОЖЬ;4;1350
63;Правобережный;брежневка;2;ИСТИНА;44;30;6;ИСТИНА;5;1280
64;Ленинский;сталинка;2;ЛОЖЬ;56;37;9;ЛОЖЬ;4;2200
66;Ленинский;сталинка;2;ЛОЖЬ;52;29;7;ЛОЖЬ;3;1330
78;Правобережный;Улучшенная;2;ЛОЖЬ;49;29;9;ЛОЖЬ;3;1500
79;Орджоникидзевский;брежневка;2;ИСТИНА;51;32;6;ЛОЖЬ;3;1350
80;Орджоникидзевский;Нестандартная;2;ИСТИНА;65;38;13;ЛОЖЬ;3;1750
81;Ленинский;сталинка;2;ИСТИНА;46;28;6;ИСТИНА;4;1000
83;Правобережный;сталинка;2;ИСТИНА;52;31;9;ЛОЖЬ;4;1550
89;Орджоникидзевский;Улучшенная;2;ЛОЖЬ;50;29;9;ИСТИНА;5;1720
91;Орджоникидзевский;Улучшенная;2;ЛОЖЬ;50;29;8;ЛОЖЬ;3;1500
93;Ленинский;сталинка;2;ИСТИНА;46;28;6;ИСТИНА;4;1000
95;Орджоникидзевский;Нестандартная;2;ЛОЖЬ;49;29;9;ЛОЖЬ;4;1530
98;Орджоникидзевский;Нестандартная;2;ЛОЖЬ;58;34;9;ЛОЖЬ;3;1650
103;Ленинский;сталинка;2;ИСТИНА;60;33;9;ЛОЖЬ;3;1700
106;Орджоникидзевский;Нестандартная;2;ИСТИНА;78;39;10;ИСТИНА;3;1700
107;Ленинский;Нестандартная;2;ЛОЖЬ;85;45;12;ЛОЖЬ;4;2500
108;Правобережный;хрущевка;2;ЛОЖЬ;42;27;6;ИСТИНА;3;1250
109;Правобережный;Улучшенная;2;ЛОЖЬ;51;30;9;ЛОЖЬ;5;1690
